date,userID,currentRanking,votePerPostRanking,tier,points,totalGoldMedals,totalSilverMedals,totalBronzeMedals,votesPerPost,totalDiscussionsCount,totalTopicsCount,totalRepliesCount,totalUpvotesCount
2022-11-30,desalegngeb,36,247,MASTER,967,27,37,829,1.6292719167904903,1346,72,1274,2193
2022-11-30,tilii7,37,113,GRANDMASTER,958,97,148,953,3.5965109735509286,1777,128,1649,6391
2022-11-30,christofhenkel,38,44,GRANDMASTER,951,122,128,514,5.789719626168225,1070,84,986,6195
2022-11-30,nbroad,39,124,MASTER,949,42,39,301,3.2823741007194243,556,61,495,1825
2022-11-30,aerdem4,40,62,GRANDMASTER,939,99,116,444,4.977142857142857,875,66,809,4355
2022-11-30,gogo827jz,41,67,GRANDMASTER,934,68,81,628,4.871591908531222,1137,89,1048,5539
2022-11-30,haqishen,42,38,MASTER,931,55,36,260,6.191681735985534,553,49,504,3424
2022-11-30,nejumi,43,26,EXPERT,924,62,28,93,7.460759493670886,395,81,314,2947
2022-11-30,kyakovlev,44,39,GRANDMASTER,903,65,80,436,6.087209302325581,860,32,828,5235
2022-11-30,yacharki,45,346,EXPERT,884,7,10,847,0.7533651758575771,2303,79,2224,1735
2022-11-30,caesarmario,46,396,EXPERT,882,3,2,1270,0.4597336715282181,3154,3,3151,1450
2022-11-30,robikscube,47,135,GRANDMASTER,879,83,65,678,3.100240577385726,1247,84,1163,3866
2022-11-30,crodoc,48,118,MASTER,873,39,16,184,3.44390243902439,410,56,354,1412
2022-11-30,faisaljanjua0555,49,316,EXPERT,868,3,6,747,0.9150036954915004,1353,48,1305,1238
2022-11-30,sudalairajkumar,50,94,GRANDMASTER,867,61,46,418,4.082397003745318,801,91,710,3270
2022-11-30,titericz,51,29,GRANDMASTER,865,108,119,520,7.0990899898887765,989,56,933,7021
2022-11-30,varunsaikanuri,52,374,EXPERT,846,2,1,831,0.6151815181518152,1515,4,1511,932
2022-11-30,headsortails,53,232,GRANDMASTER,842,113,77,675,1.7736935341009743,2258,151,2107,4005
2022-11-30,samuelcortinhas,54,225,EXPERT,841,24,22,401,1.8893740902474527,687,79,608,1298
2022-11-30,radek1,55,71,MASTER,840,41,23,178,4.745614035087719,456,70,386,2164
2022-11-30,rdizzl3,56,72,GRANDMASTER,832,58,54,412,4.708843537414966,735,68,667,3461
2022-11-30,shubhamptrivedi,57,314,EXPERT,824,31,2,459,0.928406466512702,1299,30,1269,1206
2022-11-30,mattop,58,337,EXPERT,807,4,5,844,0.7884476534296029,1385,13,1372,1092
2022-11-30,karnikakapoor,59,320,EXPERT,799,7,6,1693,0.8741159830268741,2828,12,2816,2472
2022-11-30,iamsouravbanerjee,60,261,EXPERT,786,21,5,715,1.418131359851989,1081,25,1056,1533
2022-11-30,thedrcat,61,82,MASTER,777,38,26,218,4.394160583941606,411,60,351,1806
2022-11-30,kmldas,62,134,GRANDMASTER,773,55,44,416,3.102425876010781,742,177,565,2302
2022-11-30,group16,63,85,MASTER,767,45,48,415,4.28454172366621,731,53,678,3132
2022-11-30,mragpavank,64,246,MASTER,755,44,25,587,1.6306001690617076,1183,148,1035,1929
2022-11-30,ootake,65,12,EXPERT,754,41,53,97,10.18348623853211,218,10,208,2220
2022-11-30,trushk,66,151,MASTER,751,34,29,272,2.840155945419103,513,46,467,1457
2022-11-30,tyonemoto,67,5,MASTER,750,40,64,178,12.6840490797546,326,23,303,4135
2022-11-30,rohanambad,68,331,EXPERT,740,3,0,707,0.8066666666666666,1350,2,1348,1089
2022-11-30,ohseokkim,69,360,EXPERT,733,2,3,1294,0.6878372768783728,2409,8,2401,1657
2022-11-30,alejopaullier,70,119,EXPERT,732,23,22,142,3.4420289855072466,276,63,213,950
2022-11-30,odins0n,71,277,EXPERT,729,12,14,585,1.251105216622458,1131,14,1117,1415
2022-11-30,eisgandar,72,351,EXPERT,729,4,2,765,0.734678044996121,1289,27,1262,947
2022-11-30,gpreda,73,164,GRANDMASTER,723,62,69,574,2.608022519352569,1421,185,1236,3706
2022-11-30,slawekbiel,74,58,MASTER,715,28,23,197,5.211764705882353,340,32,308,1772
2022-11-30,allohvk,75,189,MASTER,713,26,32,541,2.259006815968841,1027,52,975,2320
2022-11-30,kneroma,76,42,MASTER,709,51,26,213,6.033096926713948,423,53,370,2552
2022-11-30,tanulsingh077,77,126,MASTER,705,42,30,307,3.257553956834532,695,70,625,2264
2022-11-30,bansodesandeep,78,332,EXPERT,702,3,0,683,0.7994652406417112,1122,2,1120,897
2022-11-30,drhabib,79,79,GRANDMASTER,690,54,78,421,4.444005270092227,759,21,738,3373
2022-11-30,tunguz,80,57,GRANDMASTER,689,154,168,722,5.21497919556172,1442,164,1278,7520
2022-11-30,duykhanh99,81,131,MASTER,684,34,27,453,3.1463790446841293,649,49,600,2042
2022-11-30,kinnerakiran,82,325,EXPERT,674,9,26,372,0.831016825164594,1367,184,1183,1136
2022-11-30,shivamb,83,160,GRANDMASTER,670,51,29,440,2.698055271238485,977,77,900,2636
2022-11-30,kalilurrahman,84,242,MASTER,664,25,33,344,1.66283084004603,869,119,750,1445
2022-11-30,hasanbasriakcay,85,295,EXPERT,662,13,9,690,1.058,1000,31,969,1058
2022-11-30,senkin13,86,37,EXPERT,657,26,12,138,6.212543554006968,287,30,257,1783
2022-11-30,jonaspalucibarbosa,87,143,EXPERT,648,12,18,372,2.9983249581239533,597,30,567,1790
2022-11-30,snnclsr,88,107,MASTER,638,26,24,155,3.726443768996961,329,54,275,1226
2022-11-30,lordozvlad,89,323,EXPERT,637,8,8,1357,0.8382838283828383,1515,12,1503,1270
2022-11-30,yassinealouini,90,226,MASTER,622,46,55,712,1.8829721362229104,1615,157,1458,3041
2022-11-30,ramjasmaurya,91,279,EXPERT,615,5,17,524,1.2179072276159657,927,107,820,1129
2022-11-30,azminetoushikwasi,92,97,MASTER,612,20,31,159,4.033492822966507,209,65,144,843
2022-11-30,ragnar123,93,158,MASTER,605,25,45,336,2.721202003338898,599,49,550,1630
2022-11-30,hiroshioshio,94,1,EXPERT,604,33,36,56,16.03030303030303,132,11,121,2116
2022-11-30,arezoodahesh,95,321,EXPERT,601,3,0,839,0.8515318146111548,1273,4,1269,1084
2022-11-30,mrinath,96,253,EXPERT,600,24,25,428,1.5103598691384952,917,76,841,1385
2022-11-30,kaggleqrdl,97,287,EXPERT,595,12,25,337,1.1586475942782837,769,76,693,891
2022-11-30,jesucristo,98,117,GRANDMASTER,588,74,80,600,3.4454253611556984,1246,190,1056,4293
2022-11-30,alexryzhkov,99,188,EXPERT,586,25,14,249,2.270833333333333,480,44,436,1090
2022-11-30,cv13j0,100,344,EXPERT,580,4,5,795,0.7540073982737361,1622,23,1599,1223
2022-11-30,aminizahra,101,340,EXPERT,578,7,4,846,0.7726432532347505,1623,10,1613,1254
2022-11-30,goldenlock,102,184,EXPERT,575,8,20,209,2.321867321867322,407,24,383,945
2022-11-30,tanmay111999,103,357,EXPERT,572,4,0,528,0.6960486322188449,987,6,981,687
2022-11-30,faisalalsrheed,104,146,MASTER,571,23,28,237,2.966960352422908,454,83,371,1347
2022-11-30,nischaydnk,105,194,MASTER,569,27,27,383,2.154848046309696,691,32,659,1489
2022-11-30,authman,106,177,GRANDMASTER,568,51,79,566,2.3728963684676705,1129,97,1032,2679
2022-11-30,mobassir,107,234,GRANDMASTER,568,58,72,871,1.7353348729792148,2165,318,1847,3757
2022-11-30,balabaskar,108,236,EXPERT,563,22,15,407,1.734076433121019,628,76,552,1089
2022-11-30,anjum48,109,109,MASTER,562,39,51,276,3.659047619047619,525,54,471,1921
2022-11-30,georgyzubkov,110,384,EXPERT,561,2,0,1204,0.5716463414634146,1312,0,1312,750
2022-11-30,takoihiraokazu,111,3,EXPERT,552,43,23,47,13.113636363636363,132,16,116,1731
2022-11-30,saurabhbagchi,112,251,EXPERT,551,18,19,627,1.5216515609264851,993,62,931,1511
2022-11-30,konradb,113,150,GRANDMASTER,548,83,94,643,2.8429438543247345,1318,115,1203,3747
2022-11-30,hasibalmuzdadid,114,327,EXPERT,533,3,2,502,0.8260869565217391,874,13,861,722
2022-11-30,gvyshnya,115,249,EXPERT,522,13,27,842,1.566345441067457,1349,55,1294,2113
2022-11-30,jpmiller,116,163,GRANDMASTER,520,50,69,465,2.6541129831516352,1009,125,884,2678
2022-11-30,heyrobin,117,309,EXPERT,520,7,2,711,0.9713721618953604,1013,13,1000,984
2022-11-30,mohamedhanyyy,118,228,MASTER,519,18,37,625,1.8502879078694816,1042,132,910,1928
2022-11-30,artgor,119,147,GRANDMASTER,518,93,85,713,2.953374233128834,1630,76,1554,4814
2022-11-30,avikumart,120,322,EXPERT,511,7,4,454,0.8399518652226233,831,15,816,698
2022-11-30,onodera,121,45,MASTER,507,64,64,247,5.755514705882353,544,36,508,3131
2022-11-30,wuwenmin,122,233,EXPERT,507,14,11,184,1.757918552036199,442,44,398,777
2022-11-30,ipythonx,123,195,MASTER,506,35,37,475,2.13936170212766,940,89,851,2011
2022-11-30,ttahara,124,60,MASTER,501,38,24,172,5.147945205479452,365,42,323,1879
2022-11-30,alexandervc,125,259,EXPERT,493,14,28,147,1.4267100977198697,614,191,423,876
2022-11-30,serigne,126,142,GRANDMASTER,487,51,124,705,2.999195494770716,1243,50,1193,3728
2022-11-30,readoc,127,103,EXPERT,487,18,28,121,3.856573705179283,251,63,188,968
2022-11-30,programmerrdai,128,307,EXPERT,487,12,10,312,0.9730893433799784,929,133,796,904
2022-11-30,ryosukemoriz,129,16,MASTER,485,17,60,233,9.52051282051282,390,1,389,3713
2022-11-30,phalanx,130,6,EXPERT,484,29,35,69,12.313253012048191,166,18,148,2044
2022-11-30,ilu000,131,167,MASTER,480,16,60,496,2.5205949656750573,874,25,849,2203
2022-11-30,ryches,132,81,GRANDMASTER,473,70,61,393,4.416983523447402,789,104,685,3485
2022-11-30,berkayalan,133,191,MASTER,473,11,50,310,2.2044117647058825,680,406,274,1499
2022-11-30,tatamikenn,134,196,EXPERT,473,22,23,136,2.1194029850746268,402,55,347,852
2022-11-30,pestipeti,135,68,MASTER,472,49,35,303,4.820723684210527,608,41,567,2931
2022-11-30,sandhyakrishnan02,136,262,EXPERT,472,12,16,284,1.3797216699801194,503,29,474,694
2022-11-30,suicaokhoailang,137,64,MASTER,467,50,68,238,4.949119373776908,511,35,476,2529
2022-11-30,jiweiliu,138,138,GRANDMASTER,466,74,93,615,3.050512445095168,1366,137,1229,4167
2022-11-30,pranjalverma08,139,144,MASTER,466,35,35,293,2.9982238010657194,563,83,480,1688
2022-11-30,bamps53,140,116,MASTER,465,37,26,194,3.5344036697247705,436,40,396,1541
2022-11-30,muhammadahmed68,141,335,EXPERT,462,2,1,970,0.7923497267759563,915,3,912,725
2022-11-30,mohamedbakrey,142,368,EXPERT,459,5,3,746,0.6422136422136422,1554,112,1442,998
2022-11-30,matthewmasters,143,169,MASTER,452,23,43,572,2.499572284003422,1169,48,1121,2922
2022-11-30,nyanpn,144,22,EXPERT,450,27,23,90,7.959183673469388,196,13,183,1560
2022-11-30,qusaybtoush1990,145,86,EXPERT,450,0,0,575,4.275201612903226,992,2,990,4241
2022-11-30,nakamuran,146,10,MASTER,449,16,53,180,10.598591549295774,284,0,284,3010
2022-11-30,yus002,147,170,MASTER,447,38,20,304,2.487695749440716,447,26,421,1112
2022-11-30,jacob34,148,152,EXPERT,444,23,15,189,2.837465564738292,363,34,329,1030
2022-11-30,yuanzhezhou,149,200,EXPERT,443,11,10,183,2.068306010928962,366,17,349,757
2022-11-30,kaerunantoka,150,27,EXPERT,442,17,8,54,7.416,125,17,108,927
2022-11-30,sisharaneranjana,151,350,EXPERT,441,4,1,720,0.7365684575389948,1154,4,1150,850
2022-11-30,soumendraprasad,152,293,EXPERT,439,4,7,306,1.0647321428571428,448,23,425,477
2022-11-30,ahmedshahriarsakib,153,299,EXPERT,437,5,17,598,1.0295519542421354,1049,51,998,1080
2022-11-30,subhamjain,154,206,EXPERT,436,20,8,358,2.041247484909457,994,27,967,2029
2022-11-30,vahidehdashti,155,289,EXPERT,435,3,6,886,1.1126418152350082,1234,10,1224,1373
2022-11-30,rhtsingh,156,110,EXPERT,427,12,16,214,3.635555555555555,450,19,431,1636
2022-11-30,anandhuh,157,203,EXPERT,427,16,12,451,2.0610526315789475,950,36,914,1958
2022-11-30,takamichitoda,158,73,EXPERT,424,24,8,92,4.705263157894737,190,32,158,894
2022-11-30,zzy990106,159,128,EXPERT,424,12,18,156,3.244360902255639,266,11,255,863
2022-11-30,dwchen,160,149,MASTER,422,30,27,151,2.911602209944751,362,99,263,1054
2022-11-30,seabreeze,161,381,EXPERT,421,3,21,522,0.5987903225806451,2480,22,2458,1485
2022-11-30,harshitsheoran,162,280,EXPERT,421,11,9,210,1.205128205128205,585,28,557,705
2022-11-30,rohanrao,163,63,GRANDMASTER,419,57,57,419,4.974626865671642,670,53,617,3333
2022-11-30,ninjaac,164,338,EXPERT,416,1,1,596,0.7758444216990789,977,5,972,758
2022-11-30,debarshichanda,165,219,EXPERT,416,19,13,237,1.9219330855018588,538,30,508,1034
2022-11-30,devsubhash,166,366,EXPERT,414,0,0,553,0.6603563474387528,898,0,898,593
2022-11-30,forcewithme,167,145,EXPERT,412,14,16,82,2.9950980392156863,204,23,181,611
2022-11-30,fritzcremer,168,129,EXPERT,406,15,25,116,3.1941747572815533,206,37,169,658
2022-11-30,vladvdv,169,115,MASTER,403,36,27,214,3.536263736263736,455,43,412,1609
2022-11-30,pourchot,170,266,EXPERT,403,13,13,318,1.3644067796610169,590,26,564,805
2022-11-30,iafoss,171,229,MASTER,397,29,39,482,1.833466135458168,1255,25,1230,2301
2022-11-30,pcjimmmy,172,282,EXPERT,395,14,34,657,1.196145905024088,1453,24,1429,1738
2022-11-30,vaillant,173,15,EXPERT,391,28,25,98,9.527638190954772,199,21,178,1896
2022-11-30,zaharch,174,88,MASTER,391,44,44,283,4.214015151515151,528,41,487,2225
2022-11-30,khashayarrahimi94,175,367,EXPERT,391,1,6,385,0.6537013801756587,797,29,768,521
2022-11-30,maxdiazbattan,176,274,EXPERT,390,9,8,358,1.2772963604852687,577,22,555,737
2022-11-30,melikedilekci,177,392,EXPERT,384,0,0,387,0.4901477832512315,812,0,812,398
2022-11-30,hidehisaarai1213,178,77,MASTER,383,32,39,218,4.4952153110047846,418,27,391,1879
2022-11-30,hattan0523,179,4,EXPERT,380,26,21,18,12.68421052631579,76,7,69,964
2022-11-30,paweljankiewicz,180,54,EXPERT,379,14,32,144,5.2671480144404335,277,13,264,1459
2022-11-30,dwin183287,181,356,EXPERT,377,3,2,1087,0.6968911917098446,1930,3,1927,1345
2022-11-30,chumajin,182,214,EXPERT,377,13,4,150,1.9795918367346936,343,12,331,679
2022-11-30,vencerlanz09,183,326,EXPERT,371,3,1,691,0.8271844660194175,515,36,479,426
2022-11-30,shinmurashinmura,184,24,EXPERT,371,23,8,55,7.645161290322581,124,24,100,948
2022-11-30,jaideepvalani,185,398,EXPERT,368,16,26,441,0.3822714681440443,2166,290,1876,828
2022-11-30,sugataghosh,186,347,EXPERT,366,1,5,306,0.7528830313014827,607,15,592,457
2022-11-30,shaz13,187,161,GRANDMASTER,360,52,30,454,2.668831168831169,924,82,842,2466
2022-11-30,lukaszborecki,188,193,EXPERT,357,14,17,221,2.1827676240208875,383,22,361,836
2022-11-30,aishwarya2210,189,312,EXPERT,354,2,3,449,0.9424157303370788,712,0,712,671
2022-11-30,fareselmenshawii,190,391,EXPERT,350,1,1,322,0.4994475138121547,905,4,901,452
2022-11-30,adityaecdrid,191,281,MASTER,349,31,39,913,1.2023919043238271,2174,38,2136,2614
2022-11-30,robga,192,156,MASTER,347,18,39,309,2.7490272373540856,514,11,503,1413
2022-11-30,datahobbit,193,153,MASTER,344,26,38,354,2.833333333333333,612,41,571,1734
2022-11-30,hydantess,194,105,EXPERT,339,9,7,58,3.763157894736842,114,8,106,429
2022-11-30,carnozhao,195,66,EXPERT,338,9,4,50,4.920353982300885,113,11,102,556
2022-11-30,evilpsycho42,196,155,EXPERT,337,10,12,83,2.755952380952381,168,27,141,463
2022-11-30,vivek468,197,313,EXPERT,336,4,5,538,0.9298642533936652,884,12,872,822
2022-11-30,pranav941,198,386,EXPERT,336,0,0,338,0.5588697017268446,637,7,630,356
2022-11-30,usamabalochhh,199,383,EXPERT,335,0,1,358,0.5899053627760252,634,2,632,374
2022-11-30,psilogram,200,7,EXPERT,333,35,32,93,11.803827751196172,209,15,194,2467
2022-11-30,lftuwujie,201,199,MASTER,331,24,26,210,2.076109936575053,473,42,431,982
2022-11-30,daishu,202,80,EXPERT,330,19,13,99,4.443983402489627,241,29,212,1071
2022-11-30,hadeux,203,319,EXPERT,328,0,2,461,0.902332361516035,686,1,685,619
2022-11-30,bowaka,204,93,EXPERT,327,20,11,144,4.109170305676856,229,41,188,941
2022-11-30,kaanboke,205,298,EXPERT,327,9,10,519,1.0385395537525357,986,24,962,1024
2022-11-30,xia464,206,8,EXPERT,326,25,30,52,10.983471074380166,121,13,108,1329
2022-11-30,jbomitchell,207,224,EXPERT,325,9,20,261,1.9,390,19,371,741
2022-11-30,muhammadimran112233,208,375,EXPERT,325,0,1,510,0.6135593220338983,885,6,879,543
2022-11-30,abhishek14398,209,269,EXPERT,323,2,8,224,1.3289719626168224,535,80,455,711
2022-11-30,kanberburak,210,363,EXPERT,323,0,2,581,0.6694599627560521,1074,0,1074,719
2022-11-30,meli19,211,213,EXPERT,322,8,20,139,1.986206896551724,290,11,279,576
2022-11-30,mrbisht,212,297,EXPERT,321,4,1,273,1.0413080895008606,581,30,551,605
2022-11-30,blankaf,213,216,EXPERT,320,8,20,99,1.9766355140186915,214,14,200,423
2022-11-30,wowfattie,214,30,EXPERT,319,20,10,114,7.075471698113208,265,26,239,1875
2022-11-30,tolgadincer,215,210,EXPERT,318,26,18,365,2.015850144092219,694,51,643,1399
2022-11-30,ulrich07,216,76,EXPERT,316,18,15,156,4.5473251028806585,243,25,218,1105
2022-11-30,snaker,217,148,EXPERT,315,12,16,76,2.95,200,25,175,590
2022-11-30,purist1024,218,99,EXPERT,315,16,11,88,4.017647058823529,170,25,145,683
2022-11-30,ehsandahesh,219,343,EXPERT,315,1,0,487,0.7547945205479452,730,0,730,551
2022-11-30,amedprof,220,40,EXPERT,314,17,9,98,6.048780487804878,164,25,139,992
2022-11-30,serkanp,221,348,EXPERT,313,0,0,337,0.7444933920704846,454,0,454,338
2022-11-30,jarredpriester,222,341,EXPERT,310,1,5,305,0.7720739219712526,487,11,476,376
2022-11-30,roberthatch,223,241,EXPERT,310,7,5,131,1.6872586872586872,259,11,248,437
2022-11-30,t88take,224,20,EXPERT,309,22,25,75,8.683453237410072,139,13,126,1207
2022-11-30,sasakitetsuya,225,390,EXPERT,309,0,0,386,0.5041128084606346,851,3,848,429
2022-11-30,nvnnghia,226,89,EXPERT,308,13,15,128,4.153846153846154,247,18,229,1026
2022-11-30,chris62,227,56,EXPERT,305,13,18,85,5.22,150,15,135,783
2022-11-30,leecming,228,14,EXPERT,304,28,18,100,10.048913043478262,184,16,168,1849
2022-11-30,touba7,229,359,EXPERT,304,1,1,450,0.689119170984456,772,0,772,532
2022-11-30,davidbroberts,230,222,EXPERT,304,10,24,180,1.9070422535211269,355,54,301,677
2022-11-30,landfallmotto,231,355,EXPERT,303,2,0,357,0.7076124567474048,578,3,575,409
2022-11-30,coldfir3,232,70,EXPERT,302,12,8,56,4.789473684210527,152,22,130,728
2022-11-30,mpware,233,174,MASTER,301,29,31,330,2.4507462686567165,670,32,638,1642
2022-11-30,gaborfodor,234,96,GRANDMASTER,300,57,97,385,4.044817927170868,714,87,627,2888
2022-11-30,returnofsputnik,235,218,MASTER,299,35,57,577,1.9245762711864407,1180,67,1113,2271
2022-11-30,deepkim,236,215,EXPERT,299,11,11,146,1.976744186046512,301,27,274,595
2022-11-30,huikang,237,168,EXPERT,298,14,7,119,2.5071942446043165,278,17,261,697
2022-11-30,akmalmir,238,283,EXPERT,298,8,8,228,1.1921397379912664,458,29,429,546
2022-11-30,dragonzhang,239,382,EXPERT,298,3,13,238,0.5976714100905562,773,104,669,462
2022-11-30,venkatkumar001,240,342,EXPERT,297,3,9,323,0.7574850299401198,668,72,596,506
2022-11-30,advaypatil,241,349,EXPERT,297,0,2,346,0.7371048252911814,601,2,599,443
2022-11-30,atamazian,242,302,EXPERT,296,10,12,335,0.9973684210526316,760,76,684,758
2022-11-30,zakopur0,243,51,EXPERT,295,6,4,54,5.405940594059406,101,12,89,546
2022-11-30,aquatic,244,52,MASTER,294,40,55,190,5.397183098591549,355,15,340,1916
2022-11-30,kishalmandal,245,250,EXPERT,292,14,12,182,1.5530864197530865,405,23,382,629
2022-11-30,kanuriviveknag,246,358,EXPERT,290,3,0,255,0.6926605504587156,436,4,432,302
2022-11-30,validmodel,247,220,EXPERT,289,11,7,111,1.917391304347826,230,29,201,441
2022-11-30,satyampd,248,373,EXPERT,288,0,2,430,0.6164241164241164,962,21,941,593
2022-11-30,towhidultonmoy,249,276,EXPERT,287,9,10,206,1.2703296703296705,455,39,416,578
2022-11-30,ac1414,250,395,EXPERT,287,0,0,320,0.4711246200607902,658,5,653,310
2022-11-30,khahuras,251,165,MASTER,286,35,52,409,2.5728155339805827,824,35,789,2120
2022-11-30,kmat2019,252,47,EXPERT,285,7,4,59,5.625,120,4,116,675
2022-11-30,mbalvi75,253,18,EXPERT,284,7,11,105,9.444444444444445,171,0,171,1615
2022-11-30,chankhavu,254,176,EXPERT,284,15,19,174,2.382857142857143,350,31,319,834
2022-11-30,manojgharge07,255,387,EXPERT,284,0,0,309,0.5386996904024768,646,0,646,348
2022-11-30,tayyarhussain,256,362,EXPERT,283,1,0,284,0.6731517509727627,514,2,512,346
2022-11-30,ourfuture,257,2,EXPERT,282,5,20,63,13.545454545454543,99,1,98,1341
2022-11-30,sergiosaharovskiy,258,255,EXPERT,282,9,4,204,1.4758842443729905,311,12,299,459
2022-11-30,ankanhore545,259,273,EXPERT,281,3,10,188,1.2880434782608696,368,53,315,474
2022-11-30,shinomoriaoshi,260,208,EXPERT,280,7,13,160,2.024,250,11,239,506
2022-11-30,ridamahmood005,261,377,EXPERT,280,1,1,310,0.6098418277680141,569,8,561,347
2022-11-30,hamzamnabas,262,315,EXPERT,278,1,12,177,0.9282178217821784,404,50,354,375
2022-11-30,bestfitting,263,13,EXPERT,277,16,16,132,10.180769230769233,260,13,247,2647
2022-11-30,boliu0,264,19,EXPERT,277,19,12,94,8.95,160,17,143,1432
2022-11-30,phoenix9032,265,205,MASTER,277,30,57,514,2.0531914893617023,1034,77,957,2123
2022-11-30,mamasinkgs,266,87,MASTER,276,26,30,163,4.260869565217392,322,18,304,1372
2022-11-30,dimitreoliveira,267,260,EXPERT,276,18,23,514,1.4220338983050846,1180,62,1118,1678
2022-11-30,kartushovdanil,268,376,EXPERT,276,2,3,354,0.6106870229007634,655,4,651,400
2022-11-30,khyeh0719,269,100,EXPERT,275,17,9,123,3.967391304347826,276,24,252,1095
2022-11-30,columbia2131,270,28,EXPERT,275,15,6,38,7.410958904109589,73,14,59,541
2022-11-30,steamedsheep,271,98,EXPERT,274,9,19,103,4.029761904761905,168,6,162,677
2022-11-30,nguyenthicamlai,272,329,EXPERT,273,1,0,279,0.8157389635316699,521,1,520,425
2022-11-30,tkm2261,273,23,EXPERT,271,21,6,47,7.697478991596639,119,19,100,916
2022-11-30,sumandey,274,296,EXPERT,271,9,9,436,1.0549019607843138,765,30,735,807
2022-11-30,pietromaldini1,275,271,EXPERT,270,3,9,146,1.308,250,17,233,327
2022-11-30,kazanova,276,33,GRANDMASTER,269,73,83,438,6.285052143684821,863,43,820,5424
2022-11-30,stassl,277,65,EXPERT,269,18,21,94,4.941520467836257,171,7,164,845
2022-11-30,tanlikesmath,278,175,MASTER,269,26,31,241,2.408695652173913,575,73,502,1385
